Leaflet_ID,sent,sent_rounded
55,-0.9994,-1.0
102,-0.9994,-1.0
14,-0.9994,-1.0
299,-0.9994,-1.0
185,-0.9995,-1.0
283,-0.9995,-1.0
82,-0.9995,-1.0
68,-0.9995,-1.0
125,-0.9995,-1.0
209,-0.9995,-1.0
126,-0.9995,-1.0
237,-0.9995,-1.0
211,-0.9995,-1.0
282,-0.9995,-1.0
110,-0.9995,-1.0
196,-0.9995,-1.0
22,-0.9995,-1.0
171,-0.9995,-1.0
133,-0.9995,-1.0
195,-0.9995,-1.0
243,-0.9995,-1.0
190,-0.9995,-1.0
179,-0.9995,-1.0
189,-0.9995,-1.0
197,-0.9995,-1.0
296,-0.9996,-1.0
228,-0.9996,-1.0
291,-0.9996,-1.0
212,-0.9996,-1.0
26,-0.9996,-1.0
52,-0.9996,-1.0
75,-0.9996,-1.0
200,-0.9996,-1.0
218,-0.9996,-1.0
83,-0.9996,-1.0
27,-0.9996,-1.0
161,-0.9996,-1.0
170,-0.9996,-1.0
230,-0.9996,-1.0
180,-0.9996,-1.0
255,-0.9996,-1.0
